date,flag
1/1/16 0:00,1
2/1/16 0:00,1
3/1/16 0:00,1
6/2/16 0:00,0
7/2/16 0:00,1
8/2/16 0:00,1
9/2/16 0:00,1
10/2/16 0:00,1
11/2/16 0:00,1
12/2/16 0:00,1
13/2/16 0:00,1
14/2/16 0:00,0
2/4/16 0:00,1
3/4/16 0:00,1
4/4/16 0:00,1
1/5/16 0:00,1
2/5/16 0:00,1
9/6/16 0:00,1
10/6/16 0:00,1
11/6/16 0:00,1
12/6/16 0:00,0
15/9/16 0:00,1
16/9/16 0:00,1
17/9/16 0:00,1
18/9/16 0:00,0
1/10/16 0:00,1
2/10/16 0:00,1
3/10/16 0:00,1
4/10/16 0:00,1
5/10/16 0:00,1
6/10/16 0:00,1
7/10/16 0:00,1
8/10/16 0:00,0
9/10/16 0:00,0